game_id,points,offense,defense,offense_mean_rank,offense_median_rank,offense_trimmed_rank,defense_mean_rank,defense_median_rank,defense_trimmed_rank,mean_rank_diff,median_rank_diff,trimmed_rank_diff,rf_pred
767,56,Iowa,Nebraska,25.89,24,25.45,77.64,76,77.47,-51.75,-52,-52.019999999999996,36.016384854922734
768,45,TCU,Baylor,15,15,14.98,104.83,111,105.15,-89.83,-96,-90.17,46.70044080022194
769,27,Texas Tech,Texas,53.54,53,53.32,44.1,43,43.94,9.439999999999998,10,9.380000000000003,27.954929157345266
770,35,San Diego St,New Mexico,34.67,33,34.41,113.56,114,113.77,-78.89,-81,-79.36,42.28841010847682
771,41,Florida Intl,WKU,77.11,77,77.06,101.64,102,101.86,-24.53,-25,-24.799999999999997,34.97063789868668
772,48,Missouri,Arkansas,48.54,51,48.45,83.09,83,83.19,-34.550000000000004,-32,-34.739999999999995,30.929886530586728
773,62,Troy,Texas St,48.22,46,48.03,126.47,127,126.77,-78.25,-81,-78.74,46.5812176080824
774,30,UCLA,California,50.2,50,50.05,65.23,64,65.12,-15.030000000000001,-14,-15.070000000000007,35.44803474618038
775,31,FL Atlantic,Charlotte,37.09,34,36.72,126.26,127,126.63,-89.17,-93,-89.91,47.58285329084447
776,22,Cincinnati,Connecticut,101.84,103,101.92,108.29,109,108.49,-6.450000000000003,-6,-6.569999999999993,24.40350136416786
777,38,Florida St,Florida,40.13,39,39.82,69.78,70,69.85,-29.65,-31,-30.029999999999994,32.45170828913959
778,31,Appalachian St,Georgia St,71.49,72,71.44,105.35,106,105.64,-33.86,-34,-34.2,34.49752202643172
779,38,Georgia,Georgia Tech,2.73,2,2.68,48.67,48,48.54,-45.940000000000005,-46,-45.86,37.95064740101332
780,44,Louisville,Kentucky,27.51,27,27.26,57.89,58,57.59,-30.38,-31,-30.330000000000002,33.1975558181479
781,28,Southern Miss,Marshall,78.7,81,78.92,73.74,76,73.68,4.960000000000008,5,5.239999999999995,28.4275819226588
782,66,Penn St,Maryland,7.69,7,7.54,75.53,74,75.65,-67.84,-67,-68.11,46.403307565581045
783,31,Ohio St,Michigan,4.96,5,4.88,23.2,22,22.91,-18.24,-17,-18.03,33.902141932446746
784,33,NC State,North Carolina,25.34,24,25.05,86.16,91,86.25,-60.81999999999999,-67,-61.2,38.75
785,31,Purdue,Indiana,44.51,43,44.28,62.31,62,62.21,-17.800000000000004,-19,-17.93,33.87321648216482
786,40,Michigan St,Rutgers,20.78,18,20.55,92.08,92,92.05,-71.3,-74,-71.5,38.778431722251945
787,34,Clemson,South Carolina,2.1,2,2.05,38.11,36,37.84,-36.01,-34,-35.790000000000006,32.80221350603545
788,42,Boston College,Syracuse,30.96,29,30.52,73.23,71,73.23,-42.27,-42,-42.71000000000001,39.48521722893066
